          Фамилия                  |      Должность               |  Дата рождения               |  Стаж работы            |  Зарплата          
Пифагорович                        |Бухгалтер                     |          15.11.1430          |                      202|               20315|
Пифагор                            |Кибердемон                    |          30.03.1542          |                      275|               20798|
Завихренкосполь                    |Пинкидемон                    |          21.01.1951          |                      500|               20945|
Ерзебар                            |Консультант                   |          09.03.1553          |                      209|               21538|
Лавандовский                       |Менеджер                      |          24.09.1462          |                       31|               21624|
Флумпиксен                         |Манкубус                      |          20.02.1554          |                       56|               21659|
Каламаринек                        |Консультант                   |          24.05.1729          |                      645|               23757|
Бездарикс                          |Журналист                     |          19.05.1740          |                      140|               23805|
Зуракс                             |Архонт                        |          06.08.1699          |                       65|               23811|
Железовиксен                       |Кибердемон                    |          19.03.1999          |                      317|               24355|
Ежевников                          |Журналист                     |          12.01.1979          |                      354|               24484|
Флумпикс                           |Некромант                     |          06.06.1388          |                      377|               24767|
Нострадамусовский                  |Манкубус                      |          26.11.1536          |                      541|               25484|
Абракадабрович                     |Культист                      |          13.06.1729          |                      656|               25824|
Вздыбенкоски                       |Консультант                   |          24.12.1601          |                      295|               25996|
Магнитовский                       |Манкубус                      |          26.09.1897          |                       14|               26302|
Дрыгасар                           |Риппер                        |          30.11.1506          |                      611|               26308|
Животов                            |Харбингер                     |          16.06.1952          |                      444|               27938|
Иванюкарштейн                      |Разработчик                   |          29.02.1574          |                      336|               27982|
Квазимодиксен                      |Архонт                        |          06.11.2021          |                      478|               28022|
Бурундукович                       |Чернокнижник                  |          10.01.1458          |                      511|               28070|
Бионикс                            |Культист                      |          06.11.1970          |                      377|               28145|
Бурундук                           |Журналист                     |          11.03.1720          |                      429|               29168|
Иллюминатовский                    |Менеджер                      |          06.10.1656          |                      284|               29170|
Глупенкоски                        |Программист                   |          30.10.1559          |                      180|               29510|
Ахлебар                            |Бухгалтер                     |          14.03.1653          |                      288|               30106|
Квазимодикс                        |Разработчик                   |          21.11.1612          |                      471|               30191|
Лаванд                             |Чернокнижник                  |          30.08.1437          |                      154|               30303|
Вздыбенкос                         |Некромант                     |          06.11.1955          |                      354|               31101|
Железовикс                         |Абаддон                       |          19.10.1940          |                      171|               31115|
Вурдалаковский                     |Демонолог                     |          25.07.1699          |                      457|               32270|
Магнит                             |Журналист                     |          29.01.1672          |                      337|               32702|
Каламарин                          |Хтонист                       |          24.12.1816          |                       28|               32757|
